Time (s);Identifier;Duration
3.1800000000e+002;33282;0.0000000000e+000
3.1900000000e+002;769;0.0000000000e+000
3.2025000000e+002;781;0.0000000000e+000
3.2400000000e+002;800;0.0000000000e+000
3.2600000000e+002;768;0.0000000000e+000
3.2600000000e+002;786;0.0000000000e+000
3.2800000000e+002;33282;0.0000000000e+000
3.2900000000e+002;769;0.0000000000e+000
3.3025000000e+002;781;0.0000000000e+000
3.3400000000e+002;800;0.0000000000e+000
3.3500000000e+002;768;0.0000000000e+000
3.3500000000e+002;786;0.0000000000e+000
3.3700000000e+002;33282;0.0000000000e+000
3.3800000000e+002;769;0.0000000000e+000
3.3925000000e+002;781;0.0000000000e+000
3.4300000000e+002;800;0.0000000000e+000
3.4500000000e+002;768;0.0000000000e+000
3.4500000000e+002;786;0.0000000000e+000
3.4700000000e+002;33282;0.0000000000e+000
3.4800000000e+002;769;0.0000000000e+000
3.4925000000e+002;781;0.0000000000e+000
3.5300000000e+002;800;0.0000000000e+000
3.5500000000e+002;768;0.0000000000e+000
3.5500000000e+002;786;0.0000000000e+000
3.5700000000e+002;33282;0.0000000000e+000
3.5800000000e+002;769;0.0000000000e+000
3.5925000000e+002;781;0.0000000000e+000
3.6300000000e+002;800;0.0000000000e+000
3.6500000000e+002;768;0.0000000000e+000
3.6500000000e+002;786;0.0000000000e+000
3.6700000000e+002;33282;0.0000000000e+000
3.6800000000e+002;770;0.0000000000e+000
3.6925000000e+002;781;0.0000000000e+000
3.7300000000e+002;800;0.0000000000e+000
3.7400000000e+002;768;0.0000000000e+000
3.7400000000e+002;786;0.0000000000e+000
3.7600000000e+002;33282;0.0000000000e+000
3.7700000000e+002;769;0.0000000000e+000
3.7825000000e+002;781;0.0000000000e+000
3.8200000000e+002;800;0.0000000000e+000
3.8400000000e+002;768;0.0000000000e+000
3.8400000000e+002;786;0.0000000000e+000
3.8600000000e+002;33282;0.0000000000e+000
3.8700000000e+002;769;0.0000000000e+000
3.8825000000e+002;781;0.0000000000e+000
3.9200000000e+002;800;0.0000000000e+000
3.9500000000e+002;768;0.0000000000e+000
3.9500000000e+002;786;0.0000000000e+000
3.9700000000e+002;33282;0.0000000000e+000
3.9800000000e+002;769;0.0000000000e+000
3.9925000000e+002;781;0.0000000000e+000
4.0300000000e+002;800;0.0000000000e+000
4.0600000000e+002;768;0.0000000000e+000
4.0600000000e+002;786;0.0000000000e+000
4.0800000000e+002;33282;0.0000000000e+000
4.0900000000e+002;770;0.0000000000e+000
4.1025000000e+002;781;0.0000000000e+000
4.1400000000e+002;800;0.0000000000e+000
4.1600000000e+002;768;0.0000000000e+000
4.1600000000e+002;786;0.0000000000e+000
4.1800000000e+002;33282;0.0000000000e+000
4.1900000000e+002;769;0.0000000000e+000
4.2025000000e+002;781;0.0000000000e+000
4.2400000000e+002;800;0.0000000000e+000
4.2500000000e+002;1010;0.0000000000e+000
4.3000000000e+002;33281;0.0000000000e+000
4.3100000000e+002;32770;0.0000000000e+000
